rubro,linea,nombre_base,nombre_ejemplo
Flotante,Corepel,Flotante Oferta Kronotex D80582 Norfolk Oak Beige Ac5 Water Resistant Corepel Essence Balance,Flotante Oferta Kronotex D80582 Norfolk Oak Beige AC5 Water Resistant Corepel Essence Balance
Flotante,Dynamic,Flotante Kronotex Burgeiche Dunkel D 3671 Dinamic,Flotante Kronotex Burgeiche Dunkel D-3671 Dinamic -
Flotante,Dynamic,Flotante Kronotex D4163 Mx Ast Kiefer Caja Dynamic Ac4,Flotante Kronotex D4163 MX Ast Kiefer Caja Dynamic AC4 (1380x193x8mm)---
Flotante,Dynamic,Flotante Kronotex Nevada Kiefer D 4127 Dinamic,Flotante Kronotex Nevada Kiefer D-4127 Dinamic ---
Flotante,Dynamic,Flotante Kronotex Peral Artico D 3078 Dinamic,Flotante Kronotex Peral Artico D-3078 Dinamic -
Flotante,Dynamic,Flotante Kronotex Roble Hacienda Grey D 2958 Dinamic,Flotante Kronotex Roble Hacienda Grey D-2958 Dinamic -
Flotante,Exquisit,Flotante Exclusivo Pewen Roble Stirling Medio D 2805 Exquisit,Flotante Exclusivo Pewen Roble Stirling Medio D-2805 Exquisit -
Flotante,Exquisit,Flotante Kronotex Exquisit D 4613 Ash Copper,Flotante Kronotex Exquisit D-4613 Ash Copper - -
Flotante,Floordreams,Flotante Krono Original Heritage Barnwood K 036 Floordreams,Flotante Krono Original Heritage Barnwood K-036 Floordreams -
Flotante,Floordreams,Flotante Krono Original Weathered Barnwood K 037 Floordreams,Flotante Krono Original Weathered Barnwood K-037 Floordreams -
Flotante,Flotante,Flotante Kronotex 4238 Natural Eiken,Flotante Kronotex 4238 Natural eiken - -
Flotante,Flotante Outlet,Flotante Oferta K.Original 1995 Chene Aurelia,Flotante Oferta K.Original 1995 Chene Aurelia - -
Flotante,Flotante Outlet,Flotante Oferta K.Original 4315460,Flotante Oferta K.Original 4315460 - -
Flotante,Flotante Outlet,Flotante Oferta K.Original Bavaria Sandstone,Flotante Oferta K.Original Bavaria Sandstone - -
Flotante,Glamour High Gloss,Flotante Kronotex Roble Aragon D 4181 Glamour High Gloos,Flotante Kronotex Roble Aragon D-4181 Glamour High Gloos -
Flotante,Glamour High Gloss,Flotante Kronotex Roble Blanco D 4187 Glamour High Gloos,Flotante Kronotex Roble Blanco D-4187 Glamour High Gloos -
Flotante,Glamour High Gloss,Flotante Kronotex Roble Sonora D 4186 Glamour High Gloos,Flotante Kronotex Roble Sonora D-4186 Glamour High Gloos -
Flotante,Kronofix,Flotante Krono Original Baronial Oak 5945 Kronofix,Flotante Krono Original Baronial Oak 5945 Kronofix -
Flotante,Kronofix,Flotante Krono Original Tasmanian Blackwood D 5963 Kronofix Oferta Flotante,Flotante Krono Original Tasmanian Blackwood D-5963 Kronofix Oferta Flotante
Flotante,Mammut,Flotante Kronotex Mountain Pine D 3577 Mammut,Flotante Kronotex Mountain Pine D-3577 Mammut -
Flotante,Mammut,Flotante Kronotex Roble Barrique D 2462 Mammut,Flotante Kronotex Roble Barrique D-2462 Mammut -
Flotante,Mammut,Flotante Kronotex Roble Capital Claro D 2800 Mammut,Flotante Kronotex Roble Capital Claro D-2800 Mammut -
Flotante,Mammut,Flotante Kronotex Roble Capital Coffe D 2802 Mammut,Flotante Kronotex Roble Capital Coffe D-2802 Mammut -
Flotante,Mammut,Flotante Kronotex Roble Champagne D 2933 Mammut,Flotante Kronotex Roble Champagne D-2933 Mammut -
Flotante,Mammut,Flotante Kronotex Roble Macro Blanco D 4793 Mammut,Flotante Kronotex Roble Macro Blanco D-4793 Mammut ---
Flotante,Mammut,Flotante Kronotex Roble Macro Brown D 4791 Mammut,Flotante Kronotex Roble Macro Brown D-4791 Mammut -
Flotante,Modern,Flotante Euro Home Pino Ponderosa D 8215 Modern,Flotante Euro Home Pino Ponderosa D-8215 Modern -
Flotante,Modern,Flotante Euro Home Rivendale Ash K 034 Modern,Flotante Euro Home Rivendale Ash K-034 Modern -
Flotante,Modern,Flotante Euro Home Roble Maranello D 8721 Modern,Flotante Euro Home Roble Maranello D-8721 Modern -
Flotante,My Art,Flotante Krono Original Roble Earthen K 233 My Art,Flotante Krono Original Roble Earthen K-233 My Art -
Flotante,My Art,Flotante Krono Original Roble Misty K 231 My Art,Flotante Krono Original Roble Misty K-231 My Art -
Flotante,My Art,Flotante Krono Original Roble Wild West K 224 My Art,Flotante Krono Original Roble Wild West K-224 My Art -
Flotante,My Art,Flotante Krono Original Shak Pine K 229 My Art,Flotante Krono Original Shak Pine K-229 My Art -
Flotante,My Dream,Flotante Krono Original Roble Golden Vista K 230 My Dream,Flotante Krono Original Roble Golden Vista K-230 My Dream -
Flotante,My Dream,Flotante Krono Original Roble Wilderness K 223 My Dream,Flotante Krono Original Roble Wilderness K-223 My Dream -
Flotante,ORCA,Flotante Exclusivo Pewen 1539 Liverpool Oak Orca,Flotante Exclusivo Pewen 1539 Liverpool Oak ORCA -
Flotante,ORCA,Flotante Exclusivo Pewen K452 Ashland Oak Orca Con Manta,Flotante Exclusivo Pewen K452 Ashland Oak ORCA con Manta -
Flotante,ORCA,Flotante Krono Original 1531 Baltic Oak Orca,Flotante Krono Original 1531 Baltic Oak ORCA -
Flotante,ORCA,Flotante Krono Original 1536 Stockholm Oak Orca,Flotante Krono Original 1536 Stockholm Oak ORCA -
Flotante,ORCA,Flotante Krono Original Amalfi Oak Orca,Flotante Krono Original Amalfi Oak ORCA -
Flotante,ORCA,Flotante Krono Original Aramis Oak 1531 Orca,Flotante Krono Original Aramis Oak 1531 ORCA -
Flotante,ORCA,Flotante Krono Original Heriloom Oak 1519 Orca,Flotante Krono Original Heriloom Oak 1519 ORCA -
Flotante,ORCA,Flotante Krono Original K396 Skydive Oak Orca,Flotante Krono Original K396 Skydive Oak (Nuevo 1535) ORCA -
Flotante,ORCA,Flotante Krono Original K405 Solar Oak Orca,Flotante Krono Original K405 Solar Oak (Nuevo 1523) ORCA -
Flotante,ORCA,Flotante Krono Original Toronto Oak 1538 Orca,Flotante Krono Original Toronto Oak 1538 ORCA -
Flotante,Robusto,Flotante Kronotex D3074 Saverne Eiche Caja Robusto Ac5,Flotante  Kronotex D3074 Saverne Eiche Caja Robusto AC5 (1375x188x12mm)---
Flotante,Robusto,Flotante Kronotex Nuez D 2778 Robusto,Flotante Kronotex Nuez D-2778 Robusto -
Flotante,Smart,Flotante Krono Original D4163 Ast Kiefer Caja Smart Ac4,Flotante  Krono Original D4163 Ast Kiefer Caja Smart AC4 (1380x193x7mm)---
Flotante,Smart,Flotante Kronotex Milenium Oak D 3530 Smart,Flotante Kronotex Milenium Oak D-3530 Smart -
Flotante,Smart,Flotante Kronotex Nogal Rojo D 725 Smart,Flotante Kronotex Nogal Rojo D-725 Smart -
Flotante,Smart,Flotante Kronotex Roble Sutter D 742 Smart,Flotante Kronotex Roble Sutter D-742 Smart -
Flotante,Smart,Flotante Superior Winter Eiche Hell Landhausdiele D 5260 Standard (Sin Bisel),Flotante Superior Winter Eiche Hell Landhausdiele D-5260 Standard 7mm (Sin Bisel) -
Flotante,Standard 7mm,Flotante Superior Milenium Oak D 3530 Caja Standard Standard (Sin Bisel),Flotante Superior Milenium Oak D-3530 - Caja Standard Standard 7mm (Sin Bisel) -
Flotante,Standard 7mm,Flotante Superior Oak White D 2951 Standard (Sin Bisel),Flotante Superior Oak White D-2951 Standard 7mm (Sin Bisel) -
Flotante,Titan Prestige,Flotante Krono Original Roble Harlech Tp 8573 Titan Prestige,Flotante Krono Original Roble Harlech TP-8573 Titan Prestige -
Flotante,Vintage Long,Flotante Krono Original Beachcomber Oak Vl 054 Vintage Long,Flotante Krono Original Beachcomber Oak VL-054 Vintage Long -
Flotante,Water Resistant,Flotante Exclusivo Mayorista Pandora Water Resistant,Flotante Exclusivo Mayorista Pandora - Water Resistant
Flotante,Water Resistant,Flotante Krono Original 7001 Summer Oak Hb Water Resistant Herringbone,Flotante Krono Original 7001 Summer Oak HB Water Resistant Herringbone
Flotante,Water Resistant,Flotante Krono Original 7002 Oak Queens Hb Water Resistant Herringbone,Flotante Krono Original 7002 Oak Queens HB Water Resistant Herringbone
Flotante,Water Resistant,Flotante Oferta K.Original K658 Canvas Montreux Oak Water Resistant,Flotante Oferta K.Original K658 Canvas Montreux Oak - Water Resistant
Flotante 44 Krono Original,Flotante Outlet Water Resistant 8mm,Flotante 44 Krono Original 0801 Fb064 Pine Rustic Ac4 Water Resistant,Flotante 44 Krono Original 0801 FB064 Pine Rustic AC4 Water Resistant -
Flotante 44 Krono Original,Flotante Outlet Water Resistant 8mm,Flotante 44 Krono Original 5954 Lynne Coastal Surge (Caja Marron) Ac5 Water Resistant,Flotante 44 Krono Original 5954 Lynne Coastal Surge (Caja Marron) AC5 Water Resistant -
Flotante 44 Krono Original,Flotante Outlet Water Resistant 8mm,Flotante 44 Krono Original K325 Silver Shadow Oak Ac4 Water Resistant,Flotante 44 Krono Original K325 Silver Shadow Oak AC4 Water Resistant -
Flotante 44 Krono Original,ORCA,Flotante 44 Krono Original K405 Solar Oak Orca,Flotante 44 Krono Original K405 Solar Oak ORCA -
Flotante 44 Krono Original,Outlet 10mm,Flotante 44 Krono Original K627 Caramel Pistacchio Oak Ac4,Flotante 44 Krono Original K627 Caramel Pistacchio Oak AC4 -
Flotante 44 Krono Original,Outlet 10mm,Flotante Exclusivo Pewen K064 Elemental Oak Ac4,Flotante Exclusivo Pewen K064 Elemental Oak AC4 (Galpon 44)
Flotante 44 Krono Original,Outlet 12mm,Flotante Exclusivo Pewen K461 Antique Volcano Oak Ac5,Flotante Exclusivo Pewen K461 Antique Volcano Oak AC5 (Galpon 44)
Flotante 44 Krono Original,Outlet 7mm,Flotante 44 Krono Original 8373 (Caja Naranja Family Eiche Levegno Weib) Ac5,Flotante 44 Krono Original 8373 (Caja Naranja Family Eiche Levegno Weib) AC5 -
Flotante 44 Krono Original,Outlet 7mm (Partida Unica),Flotantekronotex 44 Krono Original K281 Smugglers Cove Oak Ac4,FlotanteKronotex  44 Krono Original K281 Smugglers Cove Oak AC4 -
Flotante 44 Krono Original,Outlet 8mm,Flotante 44 Krono Original K337 Hayloft Oak Ac4,Flotante 44 Krono Original K337 Hayloft Oak AC4 -
Flotante 44 Krono Original,Outlet 8mm,Flotante 44 Krono Original K466 Cloud Yosemite Oak Ac4,Flotante 44 Krono Original K466 Cloud Yosemite Oak AC4 -
Flotante 44 Krono Original,Outlet 8mm (Partida Unica),Flotante Exclusivo Pewen 44 Krono Original Pp4282 Reykjavik Oak Ac4,Flotante Exclusivo Pewen  44 Krono Original PP4282 Reykjavik Oak AC4 -
Flotante 44 Kronotex,Flotante Outlet Water Resistant 12mm,Flotante 44 Kronotex P1201 Camelot Oak Caja Aqua Robusto Ac5 Water Resistant,Flotante 44 Kronotex P1201 Camelot Oak Caja Aqua Robusto AC5 Water Resistant (1380x191x12mm)---
Flotante 44 Kronotex,Flotante Outlet Water Resistant 12mm,Flotante 44 Kronotex P1203 Smart Chestnut Caja Aqua Robusto Ac5 Water Resistant,Flotante 44 Kronotex P1203 Smart Chestnut Caja Aqua Robusto AC5 Water Resistant (1380x191x12mm)---
Flotante 44 Kronotex,Flotante Outlet Water Resistant 12mm,Flotante 44 Kronotex R1217 Adak Caja Rooms Ac5 Water Resistant,Flotante 44 Kronotex R1217 Adak Caja Rooms AC5 Water Resistant (1380x191x12mm)---
Flotante 44 Kronotex,Outlet 10mm,Flotante 44 Kronotex Orion Caja Autentic Ocean Ac5,Flotante 44 Kronotex Orion Caja Autentic Ocean (Pallet D3773) AC5 (1380x191x8mm+2)---
Flotante 44 Kronotex,Outlet 12mm,Flotante 44 Kronotex M1229 Virgin Chestnut Caja My Villa Ac5,Flotante 44 Kronotex M1229 Virgin Chestnut Caja My Villa AC5 (1375x188x12mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex Bracken Oak Caja Dynamic Plus Ac4,Flotante 44 Kronotex Bracken Oak Caja Dynamic Plus (Pallet D3221) AC4 (1380x193x8mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex D2940 Veranda Caja Profitan Surprise Ac4,Flotante 44 Kronotex D2940 Veranda Caja Profitan Surprise AC4 (1380x193x8mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex D3773 Er Silver Oak Caja Herringbon Punta Verde Ac4 Espina De Pescado,Flotante 44 Kronotex D3773 ER Silver Oak Caja Herringbon Punta Verde AC4 (665x133x8mm) Espina de Pescado---
